,Links
0,https://www.sitpune.edu.in/assets/pdf/brochure2024/Mandatory Disclosure _2022-23_1.pdf
1,https://www.siu.edu.in/hpu.php
2,https://www.sitpune.edu.in/assets/pdf/Appraisal System_page-0002.jpg
3,contactus
4,https://siu.edu.in/
5,https://www.sitpune.edu.in/
6,https://ezapp.ishinfo.com/SITB2024/Register/
7,https://icfamead.sitpune.edu.in
8,javascript:void(0)
9,about-us-the-institute
10,siu-vision-mission
11,chancellors-message
12,institute-vision-mission
13,dean-director-message
14,javascript:void(0)
15,deputy-director-academics
16,deputy-director-administration
17,institute-committees
18,https://siu.edu.in/symbiosis-committee.php
19,timesarticle
20,gallery
21,javascript:void(0)
22,javascript:void(0)
23,btech-AI
24,btech-civil-engineering
25,btech-computer-science-engineering
26,btech-electronic-telecommunications
27,btech-Information-Technology-Program-Structures
28,btech-mechanical-engineering
29,btech-robotics
30,javascript:void(0)
31,mtech_AI
32,automotive-technology
33,mtech_embdedsystems
34,Mtech-Engineering-Design
35,Mtech-Robotics-and-Automation
36,m.tech-geoinformatics-st
37,mtech-Computer-Aided-Design-And-Manufacture-Program-Structures
38,mtech-Computer-Science-And-Engineering-Program-Structures
39,mtech-Electronics-And-Tele-Communication-Engineering
40,acd-phd
41,javascript:void(0)
42,departmentalbrochure
43,first-add-admission-procedure
44,javascript:void(0)
45,second-year-admission
46,second-year-admission-eligibility
47,fees-structure
48,second-year-addmission-procedure
49,second-year-info-student
50,second-year-faq
51,javascript:void(0)
52,m.tech-addmission
53,fees-structure
54,http://scri.siu.edu.in/
55,fees-structure
56,edu_loan
57,javascript:void(0)
58,research-area
59,research-project
60,research-publications
61,https://www.sitpune.edu.in/fundedresearch
62,faculty-award-recog
63,research-centres
64, workshops-seminars
65,https://www.sitpune.edu.in/assets/pdf/brochure2024/1289 - Guidelines for Research Support Fund (RSF) (1).pdf
66,Patent
67,javascript:void(0)
68,javascript:void(0)
69,Scholarship
70,javascript:void(0)
71,scholarship-achievements-2023-24
72,scholarship-achievements-2022-23
73,scholarship-achievements-2021-22
74,scholarship-achievements-2020-21
75,https://www.sitpune.edu.in/assets/pdf/brochure2024/New Student Handbook 2023-24 for website_compressed.pdf
76,student-club
77,javascript:void(0)
78,cultural-event
79,technical-events
80,gender-equity
81,festivals-celebrated
82,best-practices
83,ISR_Activities
84,SIT-Pune-sports
85,campus-life
86,students-project
87,"https://www.sitpune.edu.in/assets/pdf/brochure2024/1305 - Code of Conduct, 2023 (2)_compressed.pdf"
88,"https://www.sitpune.edu.in/assets/pdf/brochure2024/1300 -Revised IC Rules, 2023- Notification_compressed.pdf"
89,javascript:void(0)
90,"https://www.sitpune.edu.in/assets/pdf/brochure2024/1301 - SIU Redress of Grievances of Students, Rules, 2023_compressed.pdf"
91,https://www.sitpune.edu.in/assets/pdf/notice-pdfs/Grievance-Redressal-Mechanism.pdf
92,nodal-officer-sit
93,javascript:void(0)
94,https://www.sitpune.edu.in/assets/pdf/brochure23/Revised-procedure-&-Compliance-submission-letter.pdf
95,https://www.ugc.ac.in/page/Videos-Regarding-Ragging.aspx
96,https://www.sitpune.edu.in/assets/pdf/brochure23/Antiragging-Posters.pdf
97,nodal-officer
98,https://siu.edu.in/student-affairs.php#antiRaggingPolicy
99,https://www.sitpune.edu.in/assets/pdf/Curbing_Anti_ragging_Letter_dated_28.04.2023.pdf
100,Capacity-development-and-skills-enhancement
101,javascript:void(0)
102,hostel-facilities
103,https://www.sitpune.edu.in/assets/pdf/Hostel_Allotment_List_2023-24_(15-02-2024).pdf
104,amenities
105,library
106,workshop
107,food-facilities
108,sports
109,Infrastructure-and-Facilities
110,computer-center
111,javascript:void(0)
112,https://www.sitpune.edu.in/assets/pdf/Academic Policy..pdf
113,academic-calender
114,notice-attendance
115,javascript:void(0)
116,javascript:void(0)
117,placement-overview
118,placement-commitee
119,placement-at-glance
120,placement-record
121,assets/pdf/Placement_Brochure_2024_compressed.pdf
122,javascript:void(0)
123,semester-overview
124,placement-list-recruiters
125,javascript:void(0)
126,object_of_industry
127,industry_polices
128,industry_connection_members
129,https://www.sitpune.edu.in/assets/pdf/Industry_Connect_NBA_brief_18thFeb2024 (1).pdf
130,industry_visit
131,industry_images
132,
133,javascript:void(0)
134,epic_cell
135,epic_vision_mission_goal
136,epic_magazine
137,epic_policies
138,epic_committee
139,epic_action_plan
140,epic_events
141,epic_photo_gallery
142,epic_contact
143,javascript:void(0)
144,internationlization-objective
145,internationlization-globalimmersion
146,internationlization-initiatives
147,internationlization-admissions
148,internationlization-visits
149,/assets/pdf/brochure2024/International Travels.pdf
150,javascript:void(0)
151,research-funding
152,research-publication
153,international-co-supervisor
154,recruitments
155,javascript:void(0)
156,mentor-overview
157,https://www.sitpune.edu.in/assets/pdf/approvals2023/Mentoring Policy 2023_24.pdf
158,mentor-mentee-system
159,https://www.sitpune.edu.in/spice
160,https://www.sitpune.edu.in/bajaj-engineering-skills-training
161,https://www.sitpune.edu.in/first-year
162,javascript:void(0)
163,https://www.sitpune.edu.in/industry-2024-schedule
164,https://www.sitpune.edu.in/assets/pdf/Induction 2024-compressed.pdf
165,https://set2024.ishinfosys.com/SET20Y24/Register/Index.aspx
166,https://ezapp.ishinfo.com/SIT2024/Register/
167,https://ezapp.ishinfo.com/SITSYDA24/Register/
168,https://ezapp.ishinfo.com/SYDAAFF24/Register/
169,https://siu.ishinfo.com/MTECH24/Register/
170,https://siu.ishinfo.com/SITMTECHY24/Register/Index.aspx
171,https://siu-dubai.ac.ae/
172,https://www.aston.ac.uk/postgraduate/sits-partnership
173,https://www.youtube.com/watch?v=I5boYq8ZR7A
174,https://www.youtube.com/watch?v=I5boYq8ZR7A
175,https://www.youtube.com/watch?v=I5boYq8ZR7A
176,
177,#
178,#
179,https://www.sitpune.edu.in/covid-19
180,#carousel-example-generic
181,#carousel-example-generic
182,
183,
184,
185,https://www.outlookindia.com/hub4business/sit-pune-spearheads-industry-academia-collaboration-for-engineering-excellence
186,https://www.outlookindia.com/hub4business/sit-pune-spearheads-industry-academia-collaboration-for-engineering-excellence
187,#
188,https://www.outlookindia.com/hub4business/sit-pune-spearheads-industry-academia-collaboration-for-engineering-excellence
189,"https://www.republicworld.com/education/admissions/symbiosis-institute-of-technology-pune-achieves-inr-50-lpa-highest-package-in-campus-placements/?amp=1
"
190,"https://www.republicworld.com/education/admissions/symbiosis-institute-of-technology-pune-achieves-inr-50-lpa-highest-package-in-campus-placements/?amp=1
"
191,#
192,"https://www.republicworld.com/education/admissions/symbiosis-institute-of-technology-pune-achieves-inr-50-lpa-highest-package-in-campus-placements/?amp=1
"
193,https://timesofindia.indiatimes.com/india/sit-punes-futuristic-edge-transforming-the-engineering-horizon-with-advanced-m-tech-programmes/articleshow/108605834.cms
194,https://timesofindia.indiatimes.com/india/sit-punes-futuristic-edge-transforming-the-engineering-horizon-with-advanced-m-tech-programmes/articleshow/108605834.cms
195,#
196,https://timesofindia.indiatimes.com/india/sit-punes-futuristic-edge-transforming-the-engineering-horizon-with-advanced-m-tech-programmes/articleshow/108605834.cms
197,https://www.sitpune.edu.in//our-spotlights
198,https://www.sitpune.edu.in/sit-asce-students-chapter
199,https://www.timeshighereducation.com/world-university-rankings/symbiosis-international-university
200,https://sitpune.edu.in/invited_talk_civil
201,assets/pdf/Student-Achievements-of-E&-TC.pdf
202,assets/pdf/Highlights-of-Civil-Department.pdf
203,https://scaai.edu.in/upcoming-events
204,https://www.sitpune.edu.in/Webinar-by-Eminent-Scientist/
205,https://www.sitpune.edu.in/guest-lectures/
206,https://www.sitpune.edu.in/covid-19/
207,archives
208,inter-faculty
209,eminentfaculties
210,http://webcache.googleusercontent.com/search?q=cache:http://www.whpu.edu.cn/info/1003/11959.htm
211,internationalvisit
212,pressrelease
213,caution
214,caution
215,Internationalization-recent-activities
216,assets/pdf/brochure23/Departmental_Magazine_2023.pdf
217,assets/pdf/brochure23/Symbi-Sains-April21.pdf
218,assets/pdf/brochure23/Symbi_Sains_April_2022.pdf
219,assets/images/WhatsApp Image 2021-06-20 at 12.41.02 PM.jpeg
220,assets/pdf/Corona_Hoarding_Hindi.pdf
221,assets/pdf/Between The Lines - January Edition_Final Copy.pdf
222,https://sitpune.edu.in/civil_student_achievement
223,assets/pdf/Between-The-Lines-Sep2020.pdf
224,https://scaai.edu.in/upcoming-events
225,student-activity
226,ted
227,hostel_allotment
228,recognition
229,https://www.sitpune.edu.in/academic-calender
230,https://www.sitpune.edu.in/fees-structure
231,https://www.sitpune.edu.in/academic-calender
232,https://www.sitpune.edu.in/fees-structure
233,https://www.sitpune.edu.in/
234,https://www.sitpune.edu.in/
235,https://www.sitpune.edu.in/
236,btech-AI
237,btech-civil-engineering
238,btech-computer-science-engineering
239,b.tech-electronic-telecommunication
240,btech-Information-Technology
241,btech-mechanical-engineering
242,btech-robotics
243,mtech_AI
244,m.tech-comp-aided-design-manufacture
245,m.tech-comp-science-engg
246,m.tech-electronic-telecommunication
247, mtech_embdedsystems
248,m.tech-geoinformatics-st
249,Mtech-Robotics-and-Automation
250,acd-phd
251,assets/pdf/PhD-course-work.pdf
252,parent
253,students
254,alumni2
255,https://set2021.ishinfosys.com/SITEEEY2021ScoreCard/#_ga=2.36895784.965569855.1625817681-82597750.1611914865
256,https://set2024.ishinfosys.com/SET20Y24/Register/Index.aspx
257,https://ezapp.ishinfo.com/SIT2024/Register/
258,https://ezapp.ishinfo.com/SITSYDA24/Register/
259,https://ezapp.ishinfo.com/SYDAAFF24/Register/
260,https://siu.ishinfo.com/MTECH24/Register/
261,https://siu.ishinfo.com/SITMTECHY24/Register/Index.aspx
262,https://www.sitpune.edu.in/about-us-the-institute
263,https://www.sitpune.edu.in/dean-director-message
264,https://www.sitpune.edu.in/chancellors-message
265,https://www.sitpune.edu.in/chancellors-message#vice_chancellor
266,https://www.sitpune.edu.in/privacy-policy
267,https://sitpune.edu.in/garena-free-fire-apk
268,https://sitpune.edu.in/mini-militia-apk
269,https://www.sitpune.edu.in/campus-life
270,https://www.sitpune.edu.in/first-add-admission-procedure
271,https://www.sitpune.edu.in/second-year-admission
272,https://www.sitpune.edu.in/acd-phd
273,https://www.youtube.com/watch?v=qF1n9NwGhnA
274,https://www.sitpune.edu.in/assets/pdf/brochure2024/Mandatory Disclosure _2022-23_1.pdf
275,https://www.sitpune.edu.in/contactus
276,https://www.sitpune.edu.in/sitemap
277,https://www.sitpune.edu.in/placement-record
278,https://siu.edu.in/onlinegrievance.php
279,https://www.aicte-india.org/feedback/index.php
280,https://www.sitpune.edu.in/assets/pdf/approvals2023/AICTE-Approval-letter-new.pdf
281,https://www.sitpune.edu.in/assets/pdf/OER letter.pdf
282,/
283,https://groots.in
